time,V_C,I_L,V_IN
0.000116,2.4111405194542304,2.085615594792441,-7.088357781061606
0.0001165,6.115831699929525,1.910000805856419,-7.652387583314784
0.000117,9.442314560312276,1.6750978093908673,-10.88297514086243
0.0001175,12.305405223166266,1.4081323395779104,-11.36599754436029
0.000118,14.666827253261804,1.141221096583986,-8.080767203142267
0.0001185,16.53111284760155,0.8797776827169588,-6.842467807920331
0.00011899999999999999,17.913021684656986,0.6119634042466372,-5.6228155541915035
0.00011949999999999999,18.800490555635193,0.3472765124207925,-5.863967560093442
0.00011999999999999999,19.20334924257346,0.08800119985944854,-7.682235377116839
0.00012049999999999999,19.108383844495044,-0.1963607408691776,-11.129129705826404
0.000121,18.47191758823026,-0.4886572601919323,-16.083549708129393
0.0001215,17.27537777346768,-0.8091594062866552,-21.035947643701398
0.000122,15.44896307240225,-1.159247914070843,-26.730331149318594
0.0001225,12.961565822923857,-1.5168667100027866,-31.373932352173263
0.00012299999999999998,9.797094938673165,-1.9049086560582684,-35.303914789825164
0.0001235,5.9123266560397045,-2.2793395119865325,-39.50354843866711
0.000124,1.3542052954841077,-2.653891991182128,-45.206222615575854
0.0001245,-3.9058013769942077,-3.021665476704979,-51.11181251009274
0.000125,-9.836785317708552,-3.378850473952834,-54.391567551165416
0.0001255,-16.393521542636464,-3.697666200336533,-56.04739703102194
0.000126,-23.47529206986549,-3.933928697536389,-58.8905561572324
0.00012649999999999998,-30.96121894350973,-4.143312764315851,-60.90885727744583
0.000127,-38.78174070067948,-4.29039754064032,-61.624033609760964
0.00012749999999999998,-46.797909739437756,-4.351252842460027,-64.69104780074568
0.000128,-54.86751793888695,-4.355243091795569,-67.05594285572954
0.0001285,-62.903694663092935,-4.313930907697511,-69.53104672847866
0.000129,-70.80854515778893,-4.2148532359636945,-70.86003499288007
0.0001295,-78.46596436108736,-4.044694870932207,-73.88601983283928
0.00013,-85.73746997008197,-3.807944281271821,-81.06675451379688
0.0001305,-92.61780597118279,-3.6247995163974887,-91.04223207675335
0.00013099999999999999,-99.18464753195605,-3.471103103904653,-99.72165178032131
0.0001315,-105.45497515303889,-3.309913297079591,-106.5960957975794
0.00013199999999999998,-111.48729479934113,-3.2080755614427985,-113.34781001122866
0.0001325,-117.33575759195023,-3.1042915490185257,-118.58852838289367
0.000133,-122.96098142235685,-2.9748708305180585,-125.61846378767962
0.0001335,-128.39515840176577,-2.8940546559979436,-132.61942070505742
0.000134,-133.69058539589162,-2.8276112870713033,-140.8260131078165
0.0001345,-138.84748823706303,-2.7524602489360066,-149.07050112067046
0.000135,-143.94187524351847,-2.7555117063470673,-156.07328493095585
0.0001355,-149.06470348077443,-2.776117808840715,-163.2384555358283
0.000136,-154.2214119241636,-2.798467502384194,-169.23362201484224
0.00013649999999999998,-159.44741948031057,-2.845070516011218,-171.93780545777062
0.000137,-164.73873904758673,-2.8610801590945045,-173.6099366849843
0.00013749999999999998,-170.01851362377565,-2.829798428245045,-173.31206641399007
0.000138,-175.20812583524975,-2.7640147219023397,-173.77875982936303
0.0001385,-180.2266084718878,-2.654560624001362,-171.97262095695794
0.000139,-184.982008116651,-2.471914639124981,-167.61095176525689
0.0001395,-189.3244790957206,-2.206369913745364,-167.77981373187575
0.00014,-193.1408626848093,-1.9044057719977123,-169.60572743433218
0.0001405,-196.37533740969636,-1.5915676872958628,-169.6074628262894
0.00014099999999999998,-199.01770423390522,-1.2645177455463315,-168.6571419608121
0.0001415,-201.04026173732245,-0.9154431794954394,-166.61799426331103
0.00014199999999999998,-202.38592627971994,-0.5355739849119687,-165.0058498273036
0.0001425,-203.01447030644155,-0.14130976141566104,-162.96098710030478
0.000143,-202.90385938336928,0.26592095191362924,-160.00391327243943
0.0001435,-202.02431839859906,0.6797740908477952,-154.1612544193169
0.000144,-200.36931933749742,1.1141828882287623,-147.04498813570146
0.0001445,-197.8586625046112,1.6146193509590696,-139.55135093852132
0.000145,-194.37047701925272,2.154774037271685,-133.31372836235255
0.00014549999999999999,-189.8685539626825,2.705405279559426,-128.68755941241747
0.000146,-184.37827744907634,3.21620962253945,-124.95506281481212
0.00014649999999999998,-177.98369460339066,3.6874339782747327,-120.71746216630821
0.000147,-170.7312948484782,4.1361790251327895,-116.9560448166707
0.00014749999999999998,-162.68859538335016,4.540314423353114,-111.61169665317885
0.000148,-153.91197226163854,4.942264166713778,-101.54891829963537
0.0001485,-143.77521830399473,6.371382692190613,-89.71055414350391
0.000149,-129.92942072281824,8.405734083284003,-78.6505599420208
0.0001495,-112.911016401575,9.874605331361133,-66.62784010731897
0.00015,-93.78115372847411,10.480139755132221,-57.26511424779289
0.0001505,-74.54042496342534,10.091216477352944,-53.842743319050825
0.00015099999999999998,-57.05157718230938,8.60759268153166,-54.6997494521829
0.0001515,-43.12878565343455,6.4075330503506045,-59.68923297473745
0.00015199999999999998,-32.98183627785857,4.8676554181942695,-65.31266720869873
0.0001525,-24.51540955492379,4.279965084002969,-69.05269349251571
0.000153,-17.174457486984146,3.6427648597172264,-68.27730973640516
0.0001535,-11.039803792267143,2.9784099279961755,-65.86695822765854
0.000154,-6.138758844782594,2.315566896883624,-63.29439940197925
0.0001545,-2.459348551427789,1.6603516502044966,-60.33228741095095
0.000155,0.007406898703207432,1.0050861664735615,-61.48158973808514
0.00015549999999999999,1.262594714360338,0.34948998499411266,-62.34881432777414
0.000156,1.3184222226369167,-0.2931092506008608,-61.85620031199734
0.00015649999999999998,0.2063994839221397,-0.9098561103396257,-63.159411767249054
0.000157,-2.0318953867867435,-1.4950300572715083,-62.14929548869341
0.00015749999999999998,-5.319817951857421,-2.0354934294814204,-59.91382356752371
0.000158,-9.545531114162031,-2.510629305793734,-58.025913632530475
0.0001585,-14.562005117076044,-2.8923415057720647,-53.78872925391651
0.000159,-20.205870165150362,-3.1902637427865077,-44.77703821305779
0.0001595,-26.2512395422848,-3.310900968858998,-35.1548169825282
0.00015999999999999999,-32.35550116550889,-3.2550533830320143,-26.33372848170974
0.0001605,-38.23478865209489,-3.0662637027881603,-19.880151947913458
0.00016099999999999998,-43.67058084927178,-2.7986815143515793,-15.754870545014874
0.0001615,-48.502676065885346,-2.4035837253289936,-11.291414473864577
0.00016199999999999998,-52.5174149464744,-1.9229618435775107,-8.702933506473084
0.0001625,-55.6053490965155,-1.4093302742726042,-6.9615928309737445
0.000163,-57.72133315061203,-0.8765048232448993,-6.118219871201828
0.0001635,-58.83803868935703,-0.3266333408529676,-4.433088094665748
0.000164,-58.928905118867384,0.2349095554137468,-1.4813578502180875
0.0001645,-57.96439968197454,0.811014229794033,3.09519621194585
0.000165,-55.92556043109185,1.3920432199694437,6.338440945700717
0.00016549999999999998,-52.831446654939796,1.9431676117223242,7.765946478355819
0.000166,-48.74105629749064,2.4656973752388613,6.568700197313974
0.00016649999999999998,-43.731839692960605,2.9313654703332075,4.30607993378761
0.000167,-37.943625331375955,3.3094929619093243,3.2968020796146553
0.0001675,-31.533771563370582,3.5966426916505414,3.663244532636533
0.000168,-24.664762528312764,3.8063673130143663,2.9012032463009714
0.0001685,-17.485087173268376,3.935659012107024,4.286958757692334
0.000169,-10.104659534079111,4.02572166056005,8.898987780686836
0.0001695,-2.608998228567292,4.06260765633867,15.347125567701024
0.00016999999999999999,4.907349230323776,4.055311442527299,24.471082005488572
0.0001705,12.44609618817114,4.084988402850545,30.869079333342412
0.00017099999999999998,20.041494698930954,4.122055457110364,32.319729157028576
0.0001715,27.640582220139247,4.071828393941166,29.921178488948822
0.00017199999999999998,35.05170789713234,3.9223629579565285,30.247571471636675
0.0001725,42.121994418662155,3.6965048011912263,32.428906380746625
0.000173,48.74030230038784,3.441442470719701,34.496463996477196
0.0001735,54.8595604481052,3.1543033366300675,36.04344667603043
0.000174,60.40422751861706,2.8340623854674063,36.31544840027542
0.00017449999999999999,65.33459985214549,2.497563740498696,40.904770016741665
0.000175,69.6485971647055,2.163492831529132,46.17752761844068
